0,0,0.050213683,0,0,4.023116589
0.5,1,-0.027133143,0,0,5.173032761
0.666666667,1,-0.038037226,0.333333333,1,4.797534943
0.5,0,-0.206588715,0.25,0,4.280995846
0.6,1,-0.236889273,0,0,0.642722905
0.5,0,-0.191364408,0,0,0.417150706
0.428571429,0,-0.226902694,0,0,0.402715325
0.375,0,-0.490578711,0,0,0.378555536
0.333333333,0,-0.477800786,0,0,0.51650548
0.3,0,-0.777400911,0,0,0.289913714
0.272727273,0,-0.642356455,0,0,0.255926371
0.25,0,-0.698105752,0,0,0.215860888
0.230769231,0,-0.908879876,0,0,0.189309493
0.214285714,0,-1.223822594,0,0,0.972854793
0.2,0,-1.368769765,0,0,0.388125032
0.25,1,-1.320702195,0,0,0.271003485
0.235294118,0,-1.234318256,0,0,0.292032242
0.222222222,0,-1.137517214,0,0,0.338301808
0.210526316,0,-1.64734447,0.2,1,0.276148379
0.3,2,-1.387822032,0.166666667,0,0.243472993
0.285714286,0,-1.651101708,0.142857143,0,0.217872858
0.318181818,1,-1.792359352,0.125,0,0.170646265
0.347826087,1,-1.56575489,0.111111111,0,0.14671582
0.333333333,0,-1.732978463,0.1,0,0.16392453
0.36,1,-1.550261736,0.090909091,0,0.229852036
0.346153846,0,-2.149183989,0.083333333,0,0.120759718
0.37037037,1,-2.120931864,0.076923077,0,0.108946033
0.357142857,0,-1.733201981,0.071428571,0,0.12370576
0.379310345,1,-2.097500801,0.066666667,0,0.164679259
0.366666667,0,-1.849132895,0.125,1,0.213502258
0.387096774,1,-2.31127429,0.117647059,0,0.175443739
0.40625,1,-2.08999753,0.111111111,0,0.206271186
0.424242424,1,-2.405658484,0.157894737,1,0.187232792
0.441176471,1,-2.314167738,0.15,0,0.216477036
0.457142857,1,-2.080596447,0.19047619,1,0.171868876
0.5,2,-2.129431009,0.181818182,0,0.147346482
0.513513514,1,-2.138462067,0.173913043,0,0.259662271
0.552631579,2,-1.934999228,0.166666667,0,0.27587682
0.538461538,0,-2.237974882,0.16,0,0.216427043
0.575,2,-1.792694926,0.153846154,0,0.240456909
0.585365854,1,-1.837466598,0.148148148,0,0.245794624
0.571428571,0,-1.983561635,0.142857143,0,0.195193306
0.581395349,1,-1.643185616,0.137931034,0,0.167840928
0.568181818,0,-1.185666561,0.133333333,0,0.16027391
0.577777778,1,-1.820315719,0.129032258,0,0.167491511
0.565217391,0,-2.340471029,0.125,0,0.154727563
0.553191489,0,-2.437532902,0.121212121,0,0.175017148
0.541666667,0,-2.514343739,0.117647059,0,0.111545421
